"l1","l2","a11","a12","a21","a22","N1","N2"
12,15,0.3,0.3,0.1,0.1,0.366666666666667,138.233333333333
13,15,0.3,0.3,0.1,0.1,0.4,138.2
14,15,0.3,0.3,0.1,0.1,0.433333333333333,138.166666666667
15,15,0.3,0.3,0.1,0.1,0.466666666666667,138.133333333333
16,15,0.3,0.3,0.1,0.1,0.5,138.1
17,15,0.3,0.3,0.1,0.1,0.533333333333333,138.066666666667
18,15,0.3,0.3,0.1,0.1,0.566666666666667,138.033333333333
19,15,0.3,0.3,0.1,0.1,0.6,138
20,15,0.3,0.3,0.1,0.1,0.633333333333333,137.966666666667
10,16,0.3,0.3,0.1,0.1,0.3,148.2
11,16,0.3,0.3,0.1,0.1,0.333333333333333,148.166666666667
12,16,0.3,0.3,0.1,0.1,0.366666666666667,148.133333333333
