"l1","l2","a12","a21","meanN1","medN1","meanN2","medN2","sdN1","sdN2","MTC","medTC","MTP1","medTP1","MTP2","medTP2","Ext1","Ext2"
13,17,0.7,0.1,3.65430937575447,3.59166666666667,14.0545217895844,14.171568627451,0.911201536023695,1.48262063825721,10.937,9,10.937,9,NaN,NA,1,0
14,17,0.7,0.1,3.90837931117329,3.83891891891892,14.2629006356276,14.3798076923077,1.00199813113710,1.35714253619014,12.6995,10.5,12.6995,10.5,NaN,NA,1,0
15,17,0.7,0.1,4.25598299687219,4.2,14.4249507733674,14.5,1.06087000696676,1.20491705216804,16.5295,13,16.5295,13,NaN,NA,1,0
16,17,0.7,0.1,4.72407929125889,4.70782520325203,14.5638813526032,14.6030303030303,1.10570242893150,1.13779146542971,20.9815,17,20.9815,17,NaN,NA,1,0
17,17,0.7,0.1,5.22786107352676,5.28125,14.7325626087377,14.8024390243902,1.17705893809265,1.05331320133347,28.766,22,28.766,22,NaN,NA,1,0
10,18,0.7,0.1,2.9751528898067,2.90909090909091,14.0742516585238,14.2,0.707288849448786,1.73383791264633,6.6475,6,6.6475,6,NaN,NA,1,0
11,18,0.7,0.1,3.15156721856678,3,14.3300292674375,14.4444444444444,0.786031268636196,1.72125789846064,7.431,7,7.431,7,NaN,NA,1,0
12,18,0.7,0.1,3.3263728580858,3.25,14.5551020517642,14.6666666666667,0.851547463701129,1.64774911706897,8.5645,7,8.5645,7,NaN,NA,1,0
13,18,0.7,0.1,3.55782523664324,3.5,14.7992580182181,14.9090909090909,0.892331245933782,1.48416267767137,9.831,8,9.831,8,NaN,NA,1,0
14,18,0.7,0.1,3.83964342156755,3.77777777777778,15.0082153121034,15.1291666666667,0.958814426073558,1.42989075528596,11.84,10,11.84,10,NaN,NA,1,0
15,18,0.7,0.1,4.13867419200903,4.07142857142857,15.2158572105263,15.3076923076923,1.02159987088904,1.32680126076687,14.207,12,14.207,12,NaN,NA,1,0
16,18,0.7,0.1,4.50423683754322,4.45,15.3908697637675,15.5,1.14222659300136,1.25775938335688,18.0205,15,18.0205,15,NaN,NA,1,0
17,18,0.7,0.1,4.92817473811411,4.95,15.5415188237133,15.6470588235294,1.16998453175909,1.12961360437354,22.6685,17,22.6685,17,NaN,NA,1,0
18,18,0.7,0.1,5.50618816474183,5.57537878787879,15.7203023668515,15.764242704956,1.21113666599963,1.01371092912883,32.3525,25,32.3525,25,NaN,NA,1,0
10,19,0.7,0.1,2.93169037616795,2.85714285714286,14.7401769735167,14.8333333333333,0.689291402092874,1.88783855655475,6.2365,6,6.2365,6,NaN,NA,1,0
11,19,0.7,0.1,3.11464035758871,3,15.0621371427509,15.2,0.769754406564757,1.78136975610012,7.1515,6,7.1515,6,NaN,NA,1,0
12,19,0.7,0.1,3.32735272289169,3.2,15.2575270161569,15.4,0.83896938276651,1.64406801568022,8.112,7,8.112,7,NaN,NA,1,0
13,19,0.7,0.1,3.53230456917633,3.44444444444444,15.5027238383141,15.5857843137255,0.881250665200995,1.63899140421298,9.2415,8,9.2415,8,NaN,NA,1,0
14,19,0.7,0.1,3.7768588409178,3.69230769230769,15.7870276470246,15.8666666666667,0.946475020226514,1.51095609452844,10.6855,9,10.6855,9,NaN,NA,1,0
15,19,0.7,0.1,4.01410713062048,4,15.9688725763301,16.0833333333333,0.977065387355626,1.43924765625509,12.654,11,12.654,11,NaN,NA,1,0
