"ID","l1","l2","a11","a12","a21","a22","N1","N2","E1","S1","E2","S2","Rank","CoexistRank","Asy","cor","Rare"
248519,16,19,2.00,0.70,0.30,1.00,1.34,17.59,0.84,1.39,1.18,4.92,2,1,-3.52,28.68,0.07
248520,17,19,2.00,0.70,0.30,1.00,1.89,17.43,0.89,1.39,1.11,5.00,2,1,-3.60,28.04,0.09
248521,18,19,2.00,0.70,0.30,1.00,2.45,17.26,0.94,1.39,1.05,5.07,2,1,-3.67,27.25,0.12
248522,19,19,2.00,0.70,0.30,1.00,3.01,17.09,1.00,1.39,1.00,5.13,2,1,-3.73,26.32,0.14
248523,20,19,2.00,0.70,0.30,1.00,3.57,16.92,1.05,1.39,0.95,5.19,2,1,-3.79,25.36,0.17
248529,15,20,2.00,0.70,0.30,1.00,0.39,18.88,0.75,1.39,1.33,4.83,2,0,-3.44,31.80,0.02
248530,16,20,2.00,0.70,0.30,1.00,0.94,18.71,0.80,1.39,1.25,4.92,2,0,-3.52,31.36,0.04
248531,17,20,2.00,0.70,0.30,1.00,1.50,18.54,0.85,1.39,1.17,5.00,2,1,-3.60,30.75,0.07
248532,18,20,2.00,0.70,0.30,1.00,2.06,18.37,0.90,1.39,1.11,5.07,2,1,-3.67,30.01,0.10
248533,19,20,2.00,0.70,0.30,1.00,2.62,18.21,0.95,1.39,1.05,5.13,2,1,-3.73,29.15,0.12
248534,20,20,2.00,0.70,0.30,1.00,3.18,18.04,1.00,1.39,1.00,5.19,2,1,-3.79,28.23,0.14
248595,15,15,2.50,0.70,0.30,1.00,1.83,13.44,1.00,1.38,1.00,5.59,2,1,-4.20,24.43,0.11
248596,16,15,2.50,0.70,0.30,1.00,2.27,13.31,1.06,1.38,0.93,5.71,2,1,-4.32,23.90,0.14
248597,17,15,2.50,0.70,0.30,1.00,2.70,13.18,1.13,1.38,0.88,5.82,2,1,-4.43,23.26,0.17
248598,18,15,2.50,0.70,0.30,1.00,3.14,13.05,1.20,1.38,0.83,5.92,2,1,-4.53,22.49,0.19
248599,19,15,2.50,0.70,0.30,1.00,3.58,12.92,1.26,1.38,0.78,6.01,2,1,-4.62,21.62,0.21
248600,20,15,2.50,0.70,0.30,1.00,4.01,12.79,1.33,1.38,0.75,6.09,2,1,-4.70,20.67,0.23
248606,15,16,2.50,0.70,0.30,1.00,1.52,14.54,0.93,1.39,1.06,5.59,2,1,-4.20,27.34,0.09
248607,16,16,2.50,0.70,0.30,1.00,1.96,14.41,1.00,1.39,1.00,5.71,2,1,-4.32,26.89,0.11
248608,17,16,2.50,0.70,0.30,1.00,2.40,14.27,1.06,1.39,0.94,5.82,2,1,-4.43,26.29,0.14
248609,18,16,2.50,0.70,0.30,1.00,2.83,14.14,1.12,1.39,0.88,5.92,2,1,-4.52,25.61,0.16
248610,19,16,2.50,0.70,0.30,1.00,3.27,14.01,1.18,1.39,0.84,6.01,2,1,-4.62,24.80,0.18
248611,20,16,2.50,0.70,0.30,1.00,3.71,13.88,1.25,1.39,0.80,6.09,2,1,-4.70,23.89,0.21
248617,15,17,2.50,0.70,0.30,1.00,1.22,15.63,0.88,1.39,1.13,5.59,2,1,-4.20,30.26,0.07
248618,16,17,2.50,0.70,0.30,1.00,1.65,15.50,0.94,1.39,1.06,5.71,2,1,-4.32,29.91,0.09
248619,17,17,2.50,0.70,0.30,1.00,2.09,15.37,1.00,1.39,1.00,5.82,2,1,-4.42,29.41,0.11
248620,18,17,2.50,0.70,0.30,1.00,2.53,15.24,1.05,1.39,0.94,5.92,2,1,-4.52,28.78,0.14
248621,19,17,2.50,0.70,0.30,1.00,2.96,15.10,1.11,1.39,0.89,6.01,2,1,-4.61,28.04,0.16
248622,20,17,2.50,0.70,0.30,1.00,3.40,14.97,1.17,1.39,0.85,6.09,2,1,-4.70,27.18,0.18
248628,15,18,2.50,0.70,0.30,1.00,0.91,16.72,0.83,1.39,1.20,5.59,2,0,-4.20,33.20,0.05
248629,16,18,2.50,0.70,0.30,1.00,1.35,16.59,0.88,1.39,1.12,5.71,2,1,-4.31,32.91,0.07
248630,17,18,2.50,0.70,0.30,1.00,1.79,16.46,0.94,1.39,1.05,5.82,2,1,-4.42,32.49,0.09
248631,18,18,2.50,0.70,0.30,1.00,2.22,16.33,1.00,1.39,1.00,5.92,2,1,-4.52,31.95,0.11
248632,19,18,2.50,0.70,0.30,1.00,2.66,16.20,1.05,1.39,0.94,6.01,2,1,-4.61,31.27,0.14
248633,20,18,2.50,0.70,0.30,1.00,3.10,16.06,1.11,1.39,0.90,6.09,2,1,-4.70,30.45,0.16
248639,15,19,2.50,0.70,0.30,1.00,0.61,17.81,0.78,1.39,1.26,5.59,2,0,-4.19,36.12,0.03
248640,16,19,2.50,0.70,0.30,1.00,1.04,17.68,0.84,1.39,1.18,5.71,2,1,-4.31,35.94,0.05
248641,17,19,2.50,0.70,0.30,1.00,1.48,17.55,0.89,1.39,1.11,5.82,2,1,-4.42,35.59,0.07
248642,18,19,2.50,0.70,0.30,1.00,1.92,17.42,0.94,1.39,1.05,5.92,2,1,-4.52,35.10,0.09
248643,19,19,2.50,0.70,0.30,1.00,2.35,17.29,1.00,1.39,1.00,6.01,2,1,-4.61,34.51,0.11
248644,20,19,2.50,0.70,0.30,1.00,2.79,17.16,1.05,1.39,0.95,6.09,2,1,-4.70,33.76,0.13
248650,15,20,2.50,0.70,0.30,1.00,0.30,18.90,0.75,1.39,1.33,5.59,2,0,-4.19,39.06,0.01
248651,16,20,2.50,0.70,0.30,1.00,0.74,18.77,0.80,1.39,1.25,5.71,2,0,-4.31,38.94,0.03
248652,17,20,2.50,0.70,0.30,1.00,1.17,18.64,0.85,1.39,1.17,5.82,2,1,-4.42,38.69,0.05
248653,18,20,2.50,0.70,0.30,1.00,1.61,18.51,0.90,1.39,1.11,5.92,2,1,-4.52,38.27,0.08
248654,19,20,2.50,0.70,0.30,1.00,2.05,18.38,0.95,1.39,1.05,6.01,2,1,-4.61,37.72,0.10
248655,20,20,2.50,0.70,0.30,1.00,2.48,18.25,1.00,1.39,1.00,6.09,2,1,-4.69,37.05,0.11
248716,15,15,3.00,0.70,0.30,1.00,1.50,13.54,1.00,1.38,1.00,6.25,2,1,-4.86,29.31,0.09
248717,16,15,3.00,0.70,0.30,1.00,1.86,13.44,1.06,1.38,0.93,6.40,2,1,-5.01,29.06,0.12
248718,17,15,3.00,0.70,0.30,1.00,2.22,13.33,1.13,1.38,0.88,6.53,2,1,-5.14,28.60,0.14
248719,18,15,3.00,0.70,0.30,1.00,2.58,13.22,1.20,1.38,0.83,6.66,2,1,-5.27,28.08,0.16
248720,19,15,3.00,0.70,0.30,1.00,2.93,13.11,1.26,1.38,0.78,6.78,2,1,-5.39,27.48,0.18
248721,20,15,3.00,0.70,0.30,1.00,3.29,13.01,1.33,1.38,0.75,6.89,2,1,-5.50,26.77,0.20
248727,15,16,3.00,0.70,0.30,1.00,1.25,14.62,0.93,1.39,1.06,6.25,2,1,-4.85,32.48,0.07
248728,16,16,3.00,0.70,0.30,1.00,1.61,14.51,1.00,1.39,1.00,6.40,2,1,-5.00,32.31,0.09
248729,17,16,3.00,0.70,0.30,1.00,1.97,14.40,1.06,1.39,0.94,6.53,2,1,-5.14,31.94,0.12
248730,18,16,3.00,0.70,0.30,1.00,2.32,14.30,1.12,1.39,0.88,6.66,2,1,-5.27,31.56,0.13
248731,19,16,3.00,0.70,0.30,1.00,2.68,14.19,1.18,1.39,0.84,6.78,2,1,-5.39,31.01,0.15
248732,20,16,3.00,0.70,0.30,1.00,3.04,14.08,1.25,1.39,0.80,6.89,2,1,-5.50,30.36,0.17
248738,15,17,3.00,0.70,0.30,1.00,1.00,15.69,0.88,1.39,1.13,6.25,2,1,-4.85,35.69,0.05
248739,16,17,3.00,0.70,0.30,1.00,1.36,15.59,0.94,1.39,1.06,6.40,2,1,-5.00,35.64,0.08
248740,17,17,3.00,0.70,0.30,1.00,1.72,15.48,1.00,1.39,1.00,6.53,2,1,-5.14,35.36,0.10
248741,18,17,3.00,0.70,0.30,1.00,2.07,15.37,1.05,1.39,0.94,6.66,2,1,-5.27,35.04,0.11
248742,19,17,3.00,0.70,0.30,1.00,2.43,15.26,1.11,1.39,0.89,6.78,2,1,-5.39,34.57,0.13
248743,20,17,3.00,0.70,0.30,1.00,2.79,15.16,1.17,1.39,0.85,6.89,2,1,-5.50,34.01,0.15
248749,15,18,3.00,0.70,0.30,1.00,0.75,16.77,0.83,1.39,1.20,6.25,2,0,-4.85,38.92,0.04
248750,16,18,3.00,0.70,0.30,1.00,1.11,16.66,0.88,1.39,1.12,6.40,2,1,-5.00,38.95,0.06
248751,17,18,3.00,0.70,0.30,1.00,1.46,16.55,0.94,1.39,1.05,6.53,2,1,-5.14,38.78,0.08
248752,18,18,3.00,0.70,0.30,1.00,1.82,16.45,1.00,1.39,1.00,6.66,2,1,-5.27,38.55,0.09
248753,19,18,3.00,0.70,0.30,1.00,2.18,16.34,1.05,1.39,0.94,6.78,2,1,-5.39,38.16,0.11
248754,20,18,3.00,0.70,0.30,1.00,2.54,16.23,1.11,1.39,0.90,6.89,2,1,-5.50,37.64,0.13
248760,15,19,3.00,0.70,0.30,1.00,0.50,17.84,0.78,1.39,1.26,6.25,2,0,-4.85,42.13,0.02
248761,16,19,3.00,0.70,0.30,1.00,0.86,17.74,0.84,1.39,1.18,6.40,2,0,-5.00,42.28,0.04
248762,17,19,3.00,0.70,0.30,1.00,1.21,17.63,0.89,1.39,1.11,6.53,2,1,-5.14,42.19,0.06
248763,18,19,3.00,0.70,0.30,1.00,1.57,17.52,0.94,1.39,1.05,6.66,2,1,-5.26,42.02,0.08
248764,19,19,3.00,0.70,0.30,1.00,1.93,17.41,1.00,1.39,1.00,6.78,2,1,-5.38,41.71,0.09
248765,20,19,3.00,0.70,0.30,1.00,2.29,17.31,1.05,1.39,0.95,6.89,2,1,-5.49,41.30,0.11
248771,15,20,3.00,0.70,0.30,1.00,0.25,18.92,0.75,1.39,1.33,6.25,2,0,-4.85,45.36,0.01
248772,16,20,3.00,0.70,0.30,1.00,0.60,18.81,0.80,1.39,1.25,6.40,2,0,-5.00,45.61,0.03
248773,17,20,3.00,0.70,0.30,1.00,0.96,18.70,0.85,1.39,1.17,6.53,2,0,-5.13,45.59,0.04
248774,18,20,3.00,0.70,0.30,1.00,1.32,18.60,0.90,1.39,1.11,6.66,2,1,-5.26,45.53,0.06
248775,19,20,3.00,0.70,0.30,1.00,1.68,18.49,0.95,1.39,1.05,6.78,2,1,-5.38,45.30,0.08
248776,20,20,3.00,0.70,0.30,1.00,2.04,18.38,1.00,1.39,1.00,6.89,2,1,-5.49,44.93,0.09
248837,15,15,1.50,0.90,0.30,1.00,1.13,13.65,1.00,1.10,1.00,3.94,2,1,-2.84,17.77,0.07
248838,16,15,1.50,0.90,0.30,1.00,1.95,13.41,1.06,1.10,0.93,4.00,2,1,-2.89,16.61,0.12
248839,17,15,1.50,0.90,0.30,1.00,2.76,13.17,1.13,1.10,0.88,4.04,2,1,-2.94,15.30,0.17
248840,18,15,1.50,0.90,0.30,1.00,3.57,12.92,1.20,1.10,0.83,4.09,2,1,-2.98,13.97,0.21
248848,15,16,1.50,0.90,0.30,1.00,0.40,14.87,0.93,1.10,1.06,3.94,2,0,-2.84,20.54,0.02
248849,16,16,1.50,0.90,0.30,1.00,1.21,14.63,1.00,1.10,1.00,4.00,2,1,-2.89,19.45,0.07
248850,17,16,1.50,0.90,0.30,1.00,2.03,14.39,1.06,1.10,0.94,4.04,2,1,-2.94,18.16,0.12
