"l1","l2","a11","a12","a21","a22","N1","N2","E1","S1","E2","S2","Rare","Asy","cor","meanN1","medN1","meanN2","medN2","sdN1","sdN2","MTC","medTC","MTP1","medTP1","MTP2","medTP2","Ext1","Ext2"
16,18,2,0.5,0.9,0.9,3.7,15.18,0.88,1.72,1.12,2.06,0.19,-0.34,1.95,3.90102669473209,3.8767523364486,13.2246742147688,13.4,0.869904346364011,1.86130213553337,21.7615,17,21.8139418254764,17,4.33333333333333,4.5,0.997,0.003
17,18,2,0.5,0.9,0.9,4.37,14.51,0.94,1.72,1.05,2.07,0.23,-0.34,1.77,4.24527670919487,4.27917525773196,13.1622349406284,13.3809523809524,0.908327351714752,1.75265602006984,28.5185,21,28.5972850678733,22,14.2727272727273,6,0.9945,0.0055
18,18,2,0.5,0.9,0.9,5.03,13.85,1,1.72,1,2.08,0.26,-0.35,1.58,4.71462730348367,4.76794871794872,12.9521248407272,13.0790020790021,0.918184753897967,1.71335535380983,39.9925,30,40.1120121642169,31,31.2592592592593,19,0.9865,0.0135
19,18,2,0.5,0.9,0.9,5.7,13.18,1.05,1.72,0.94,2.08,0.3,-0.36,1.34,5.203527991154,5.29841582302212,12.6593093178829,12.7568613652357,1.00153656328219,1.69029221242111,55.2375,39.5,55.6553497942387,40,40.7321428571429,28.5,0.972,0.028
20,18,2,0.5,0.9,0.9,6.37,12.51,1.11,1.72,0.9,2.09,0.33,-0.37,1.13,5.83152941345172,5.94845686820137,12.1477708704492,12.2590189415847,0.985942337309484,1.5758662986988,79.4435,58,79.9951612903226,58,72.1142857142857,50,0.93,0.07
13,19,2,0.5,0.9,0.9,1.33,18.66,0.68,1.72,1.46,2.03,0.06,-0.3,2.68,3.09366061657221,3,13.6973263519969,14,0.730132037654094,2.27185874411387,10.2585,9,10.2616308154077,9,4,4,0.9995,5e-04
14,19,2,0.5,0.9,0.9,2,18,0.73,1.72,1.35,2.04,0.1,-0.31,2.56,3.24759398120469,3.17914438502674,13.9358703967621,14.1428571428571,0.76709063987382,2.14210023839038,12.0735,10,12.0735,10,NaN,NA,1,0
15,19,2,0.5,0.9,0.9,2.66,17.33,0.78,1.72,1.26,2.05,0.13,-0.32,2.42,3.49077430479233,3.4588963963964,14.0524539648250,14.25,0.819274715438121,2.07656333768881,14.8325,12,14.8441883767535,12,9,7,0.998,0.002
16,19,2,0.5,0.9,0.9,3.33,16.66,0.84,1.72,1.18,2.06,0.16,-0.33,2.26,3.75534323047980,3.74537037037037,14.1461394302064,14.3503836317136,0.824826504721152,1.91842198452652,18.4055,14,18.4204204204204,14,3.5,3.5,0.999,0.001
17,19,2,0.5,0.9,0.9,4,16,0.89,1.72,1.11,2.07,0.2,-0.34,2.1,4.0855457084613,4.08835005574136,14.1635649574124,14.3879598662207,0.944337056381836,1.84118744747376,23.102,19,23.1057644110276,19,21.6,5,0.9975,0.0025
18,19,2,0.5,0.9,0.9,4.66,15.33,0.94,1.72,1.05,2.08,0.23,-0.35,1.92,4.51104493350591,4.52941176470588,13.9841046181816,14.1982142857143,0.956707313624347,1.79460633738443,31.969,24,32.0517327975892,24,13.6666666666667,8,0.9955,0.0045
19,19,2,0.5,0.9,0.9,5.33,14.66,1,1.72,1,2.08,0.26,-0.36,1.67,4.90247657172856,5,13.7717599234259,13.9523809523810,0.965733567352607,1.72461999081461,42.92,32,43.0211800302572,32,31.1176470588235,26,0.9915,0.0085
20,19,2,0.5,0.9,0.9,6,14,1.05,1.72,0.95,2.09,0.3,-0.36,1.48,5.43830053072005,5.53526170798898,13.4956310725695,13.6184279936698,1.01743790079834,1.68599611451775,59.5995,44,60.0015408320493,44,44.8301886792453,31,0.9735,0.0265
14,20,2,0.5,0.9,0.9,1.62,19.48,0.7,1.73,1.42,2.04,0.07,-0.31,2.76,3.2160749090078,3.16666666666667,14.7112770604436,15,0.76059403332775,2.29168616372304,11.2615,10,11.2611305652826,10,12,12,0.9995,5e-04
