"ID","a12","l1","l2","a21","meanN1","medN1","meanN2","medN2","MTC","sdN1","sdN2","medTC","MTP1","medTP1","MTP2","medTP2","Ext1","Ext2","E1","S1","E2","S2","Rank1","Rank2","CoexistRank","Asy"
4165,0.40,15,17,0.50,8.92,9.06,11.03,11.04,336.44,0.98,0.96,242.50,335.20,242.50,340.20,242.50,0.75,0.24,0.88,2.29,1.13,1.87,2,1,1,0.42
4166,0.40,15,17,0.60,9.68,9.71,9.45,9.63,229.88,1.10,1.31,159.00,232.33,159.50,228.61,158.50,0.34,0.65,0.88,2.29,1.13,1.59,1,2,1,0.70
4167,0.40,15,17,0.70,10.28,10.26,7.93,8.14,105.16,1.20,1.53,72.00,103.53,65.50,105.34,72.00,0.10,0.89,0.88,2.29,1.13,1.38,1,2,0,0.90
4168,0.40,15,17,0.80,10.70,10.70,6.61,6.78,52.48,1.27,1.62,38.00,50.77,39.00,52.54,38.00,0.03,0.96,0.88,2.29,1.13,1.22,1,2,0,1.06
4169,0.40,15,17,0.90,10.94,11.00,5.64,5.70,31.11,1.30,1.61,24.00,31.48,24.00,31.11,24.00,0.01,0.98,0.88,2.29,1.13,1.10,1,2,0,1.19
4170,0.40,15,17,1.00,11.03,11.10,5.03,4.95,21.38,1.35,1.53,17.00,15.38,10.00,21.44,17.00,0.01,0.98,0.88,2.29,1.13,1.00,1,2,0,1.29
4171,0.50,15,17,0.20,5.96,6.11,14.26,14.34,59.05,1.12,0.91,44.00,59.05,44.00,,,1.00,0.00,0.88,1.88,1.13,3.94,2,1,0,-2.05
4172,0.50,15,17,0.30,6.29,6.44,13.54,13.55,70.57,1.13,0.93,51.00,70.64,51.00,25.66,28.00,0.99,1.5e-03,0.88,1.88,1.13,2.88,2,1,0,-0.99
4173,0.50,15,17,0.40,6.73,6.92,12.76,12.76,87.38,1.19,0.95,61.00,87.36,61.00,91.62,99.00,0.99,4.0e-03,0.88,1.88,1.13,2.27,2,1,0,-0.38
4174,0.50,15,17,0.50,7.17,7.38,11.83,11.82,111.48,1.29,1.13,77.00,111.76,78.00,105.60,70.00,0.95,0.04,0.88,1.88,1.13,1.87,2,1,0,0.01
4175,0.50,15,17,0.60,7.91,8.08,10.60,10.62,121.66,1.41,1.40,85.00,119.89,84.00,128.35,89.00,0.79,0.20,0.88,1.88,1.13,1.59,2,1,0,0.29
4176,0.50,15,17,0.70,8.75,8.85,9.02,9.20,95.09,1.70,1.92,66.00,95.62,68.50,94.63,64.00,0.46,0.53,0.88,1.88,1.13,1.38,2,1,0,0.50
4177,0.50,15,17,0.80,9.54,9.69,7.49,7.64,59.93,1.79,2.12,44.00,58.51,39.00,60.27,45.00,0.19,0.80,0.88,1.88,1.13,1.22,1,2,0,0.65
4178,0.50,15,17,0.90,10.06,10.16,6.34,6.33,37.66,1.67,1.99,28.00,36.03,28.00,37.80,28.00,0.08,0.91,0.88,1.88,1.13,1.10,1,2,0,0.78
4179,0.50,15,17,1.00,10.32,10.44,5.52,5.33,25.42,1.62,1.89,20.00,22.60,17.50,25.53,20.00,0.03,0.96,0.88,1.88,1.13,1.00,1,2,0,0.88
4180,0.60,15,17,0.20,5.02,5.09,14.18,14.27,29.48,1.11,1.09,22.00,29.48,22.00,,,1.00,0.00,0.88,1.60,1.13,3.94,2,1,0,-2.34
4181,0.60,15,17,0.30,5.22,5.26,13.56,13.63,32.22,1.21,1.14,24.00,32.23,24.00,14.00,14.00,0.99,5.0e-04,0.88,1.60,1.13,2.88,2,1,0,-1.28
4182,0.60,15,17,0.40,5.54,5.60,12.98,13.02,37.02,1.24,1.15,27.00,37.03,27.00,29.50,29.50,0.99,1.0e-03,0.88,1.60,1.13,2.27,2,1,0,-0.66
4183,0.60,15,17,0.50,5.90,6.01,12.29,12.32,43.65,1.40,1.31,32.00,43.72,32.00,38.48,27.00,0.98,0.01,0.88,1.60,1.13,1.87,2,1,0,-0.27
4184,0.60,15,17,0.60,6.40,6.48,11.37,11.42,52.96,1.55,1.60,38.50,53.28,39.00,47.73,32.00,0.94,0.05,0.88,1.60,1.13,1.59,2,1,0,8.02890405459666e-03
4185,0.60,15,17,0.70,7.12,7.20,10.18,10.31,58.36,1.84,1.97,42.00,58.63,42.00,57.23,44.00,0.80,0.19,0.88,1.60,1.13,1.38,2,1,0,0.21
4186,0.60,15,17,0.80,8.02,8.16,8.64,8.75,50.36,2.13,2.35,37.00,51.96,38.00,48.65,36.00,0.51,0.48,0.88,1.60,1.13,1.22,2,1,0,0.37
4187,0.60,15,17,0.90,8.83,9.04,7.26,7.28,39.15,2.13,2.45,29.00,39.26,29.00,39.10,29.00,0.27,0.72,0.88,1.60,1.13,1.10,1,2,0,0.50
4188,0.60,15,17,1.00,9.23,9.53,6.35,6.06,28.67,2.13,2.40,21.00,27.13,20.00,28.95,22.00,0.15,0.84,0.88,1.60,1.13,1.00,1,2,0,0.60
4189,0.70,15,17,0.20,4.40,4.35,13.93,14.00,17.04,1.12,1.25,14.00,17.04,14.00,,,1.00,0.00,0.88,1.39,1.13,3.94,2,1,0,-2.55
4190,0.70,15,17,0.30,4.55,4.50,13.56,13.61,19.34,1.14,1.24,15.00,19.34,15.00,,,1.00,0.00,0.88,1.39,1.13,2.88,2,1,0,-1.49
4191,0.70,15,17,0.40,4.76,4.70,12.96,13.03,21.50,1.23,1.34,17.00,21.50,17.00,18.00,18.00,0.99,5.0e-04,0.88,1.39,1.13,2.27,2,1,0,-0.87
4192,0.70,15,17,0.50,4.97,4.92,12.44,12.50,23.56,1.36,1.43,19.00,23.58,19.00,18.42,14.00,0.99,3.5e-03,0.88,1.39,1.13,1.87,2,1,0,-0.48
4193,0.70,15,17,0.60,5.45,5.41,11.67,11.75,29.51,1.56,1.61,23.00,29.62,23.00,24.04,15.00,0.97,0.02,0.88,1.39,1.13,1.59,2,1,0,-0.20
4194,0.70,15,17,0.70,5.86,5.73,10.91,11.11,32.36,1.82,1.98,25.00,32.75,25.00,27.49,20.00,0.92,0.07,0.88,1.39,1.13,1.38,2,1,0,4.5537340619306e-03
4195,0.70,15,17,0.80,6.48,6.29,9.77,10.14,32.86,2.26,2.46,24.00,33.38,25.00,30.96,24.00,0.78,0.21,0.88,1.39,1.13,1.22,2,1,0,0.16
4196,0.70,15,17,0.90,7.33,7.40,8.47,8.69,33.15,2.50,2.78,24.00,33.61,24.50,32.52,24.00,0.57,0.42,0.88,1.39,1.13,1.10,2,1,0,0.29
4197,0.70,15,17,1.00,8.12,8.47,7.15,6.98,26.75,2.49,2.75,21.00,27.09,21.00,26.55,20.00,0.36,0.63,0.88,1.39,1.13,1.00,1,2,0,0.39
4198,0.80,15,17,0.20,4.06,3.96,13.79,13.87,13.50,1.05,1.35,11.00,13.50,11.00,,,1.00,0.00,0.88,1.23,1.13,3.94,2,1,0,-2.71
4199,0.80,15,17,0.30,4.17,4.11,13.32,13.40,14.12,1.09,1.37,12.00,14.12,12.00,,,1.00,0.00,0.88,1.23,1.13,2.88,2,1,0,-1.65
4200,0.80,15,17,0.40,4.30,4.20,12.88,12.90,15.72,1.17,1.38,13.00,15.72,13.00,15.00,15.00,0.99,5.0e-04,0.88,1.23,1.13,2.27,2,1,0,-1.04
4201,0.80,15,17,0.50,4.50,4.37,12.39,12.47,17.27,1.28,1.50,14.00,17.29,14.00,9.60,7.00,0.99,2.5e-03,0.88,1.23,1.13,1.87,2,1,0,-0.64
4202,0.80,15,17,0.60,4.72,4.58,11.88,12.00,19.12,1.39,1.60,16.00,19.15,16.00,12.12,8.00,0.99,4.0e-03,0.88,1.23,1.13,1.59,2,1,0,-0.36
4203,0.80,15,17,0.70,5.02,4.84,11.19,11.37,21.50,1.69,1.89,17.00,21.62,17.00,17.83,14.00,0.96,0.03,0.88,1.23,1.13,1.38,2,1,0,-0.15
4204,0.80,15,17,0.80,5.50,5.26,10.37,10.77,23.72,2.01,2.27,19.00,23.85,19.00,22.60,18.00,0.90,0.09,0.88,1.23,1.13,1.22,2,1,0,2.37586124970313e-03
4205,0.80,15,17,0.90,6.10,5.78,9.40,9.87,24.73,2.37,2.69,19.00,24.95,19.00,23.97,18.00,0.77,0.22,0.88,1.23,1.13,1.10,2,1,0,0.12
4206,0.80,15,17,1.00,6.84,6.66,8.19,8.50,22.80,2.71,3.01,18.00,23.57,18.00,21.64,17.00,0.60,0.39,0.88,1.23,1.13,1.00,2,1,0,0.23
4207,0.90,15,17,0.20,3.79,3.71,13.60,13.70,10.67,0.96,1.45,9.00,10.67,9.00,,,1.00,0.00,0.88,1.10,1.13,3.94,2,1,0,-2.84
4208,0.90,15,17,0.30,3.86,3.77,13.21,13.25,11.77,1.05,1.40,10.00,11.77,10.00,,,1.00,0.00,0.88,1.10,1.13,2.88,2,1,0,-1.78
4209,0.90,15,17,0.40,4.01,3.92,12.71,12.77,12.05,1.09,1.41,10.00,12.05,10.00,,,1.00,0.00,0.88,1.10,1.13,2.27,2,1,0,-1.16
4210,0.90,15,17,0.50,4.16,4.00,12.32,12.40,13.22,1.24,1.53,11.00,13.22,11.00,7.00,7.00,0.99,1.0e-03,0.88,1.10,1.13,1.87,2,1,0,-0.77
4211,0.90,15,17,0.60,4.25,4.09,11.83,11.92,14.10,1.30,1.60,12.00,14.12,12.00,9.44,4.00,0.99,4.5e-03,0.88,1.10,1.13,1.59,2,1,0,-0.49
4212,0.90,15,17,0.70,4.51,4.31,11.34,11.50,15.67,1.52,1.83,13.00,15.69,13.00,14.21,12.00,0.98,0.01,0.88,1.10,1.13,1.38,2,1,0,-0.28
4213,0.90,15,17,0.80,4.86,4.55,10.61,10.86,17.45,1.82,2.12,14.00,17.60,14.00,14.33,11.00,0.95,0.04,0.88,1.10,1.13,1.22,2,1,0,-0.12
4214,0.90,15,17,0.90,5.31,4.81,9.88,10.33,18.53,2.25,2.57,15.00,18.76,15.00,16.86,14.00,0.88,0.11,0.88,1.10,1.13,1.10,2,1,0,9.54927425515617e-04
4215,0.90,15,17,1.00,5.84,5.30,8.93,9.50,19.60,2.51,2.86,15.00,19.69,16.00,19.30,15.00,0.76,0.23,0.88,1.10,1.13,1.00,2,1,0,0.10
4216,1.00,15,17,0.20,3.60,3.46,13.38,13.50,9.12,0.95,1.50,8.00,9.12,8.00,,,1.00,0.00,0.88,1.00,1.13,3.94,2,1,0,-2.94
4217,1.00,15,17,0.30,3.67,3.55,13.03,13.00,9.59,0.98,1.52,8.00,9.59,8.00,,,1.00,0.00,0.88,1.00,1.13,2.88,2,1,0,-1.88
4218,1.00,15,17,0.40,3.75,3.62,12.67,12.75,10.37,1.04,1.50,9.00,10.37,9.00,,,1.00,0.00,0.88,1.00,1.13,2.27,2,1,0,-1.27
4219,1.00,15,17,0.50,3.83,3.70,12.26,12.30,10.85,1.06,1.51,10.00,10.85,10.00,,,1.00,0.00,0.88,1.00,1.13,1.87,2,1,0,-0.87
4220,1.00,15,17,0.60,3.99,3.85,11.77,11.88,11.60,1.23,1.62,10.00,11.61,10.00,6.00,5.00,0.99,2.5e-03,0.88,1.00,1.13,1.59,2,1,0,-0.59
4221,1.00,15,17,0.70,4.17,4.00,11.37,11.54,12.95,1.36,1.72,11.00,12.98,11.00,9.68,8.50,0.99,8.0e-03,0.88,1.00,1.13,1.38,2,1,0,-0.38
4222,1.00,15,17,0.80,4.44,4.11,10.74,11.00,13.63,1.71,2.11,11.00,13.66,11.00,12.61,11.00,0.96,0.03,0.88,1.00,1.13,1.22,2,1,0,-0.22
4223,1.00,15,17,0.90,4.74,4.33,10.04,10.40,14.73,2.00,2.40,12.00,14.88,12.00,12.98,11.00,0.92,0.08,0.88,1.00,1.13,1.10,2,1,0,-0.10
4224,1.00,15,17,1.00,5.18,4.57,9.35,9.90,15.28,2.36,2.77,13.00,15.34,13.00,14.90,12.00,0.84,0.15,0.88,1.00,1.13,1.00,2,1,0,0.00
4225,0.10,15,18,0.30,12.51,12.52,12.95,12.95,4751.15,0.09,0.09,4812.25,4825.65,4913.50,4676.64,4711.00,0.05,0.22,0.83,6.66,1.20,2.88,2,1,2,3.78
4226,0.10,15,18,0.40,12.67,12.67,11.50,11.54,3588.23,0.20,0.34,3203.00,3852.37,3899.00,3324.09,2610.00,0.01,0.87,0.83,6.66,1.20,2.27,1,2,2,4.39
4227,0.10,15,18,0.50,12.82,12.81,9.95,10.06,854.77,0.31,0.67,569.00,958.77,949.00,854.29,567.00,4.5e-03,0.99,0.83,6.66,1.20,1.87,1,2,1,4.79
4228,0.10,15,18,0.60,12.94,12.93,8.36,8.56,220.38,0.51,1.00,149.50,885.00,885.00,220.05,149.00,5.0e-04,0.99,0.83,6.66,1.20,1.59,1,2,1,5.07
4229,0.10,15,18,0.70,12.98,13.00,6.93,7.13,83.25,0.71,1.21,59.00,277.00,277.00,83.16,59.00,5.0e-04,0.99,0.83,6.66,1.20,1.38,1,2,0,5.27
4230,0.10,15,18,0.80,12.91,12.94,5.93,6.04,41.50,0.87,1.22,31.00,,,41.50,31.00,0.00,1.00,0.83,6.66,1.20,1.22,1,2,0,5.43
4231,0.10,15,18,0.90,12.86,12.86,5.12,5.14,25.73,0.98,1.25,20.00,8.00,8.00,25.74,20.00,5.0e-04,0.99,0.83,6.66,1.20,1.10,1,2,0,5.56
4232,0.10,15,18,1.00,12.72,12.78,4.61,4.56,18.47,1.09,1.20,15.00,,,18.47,15.00,0.00,1.00,0.83,6.66,1.20,1.00,1,2,0,5.66
4233,0.20,15,18,0.30,10.99,11.01,13.43,13.43,3912.95,0.26,0.14,5575.50,3921.24,3557.00,3904.66,3466.00,0.59,0.10,0.83,4.09,1.20,2.88,2,1,2,1.20
4234,0.20,15,18,0.40,11.27,11.29,12.09,12.12,3374.51,0.40,0.41,3350.00,3361.57,2611.00,3387.46,2756.00,0.31,0.55,0.83,4.09,1.20,2.27,2,1,2,1.81
4235,0.20,15,18,0.50,11.60,11.58,10.65,10.74,1250.28,0.34,0.60,849.00,1316.76,930.00,1183.81,843.50,0.06,0.93,0.83,4.09,1.20,1.87,1,2,1,2.21
4236,0.20,15,18,0.60,11.88,11.86,9.11,9.28,318.54,0.51,0.92,230.00,378.24,330.00,317.63,228.50,0.01,0.98,0.83,4.09,1.20,1.59,1,2,1,2.49
4237,0.20,15,18,0.70,12.11,12.10,7.58,7.84,114.79,0.77,1.26,79.00,65.33,44.00,114.94,79.00,3.0e-03,0.99,0.83,4.09,1.20,1.38,1,2,0,2.70
4238,0.20,15,18,0.80,12.21,12.22,6.35,6.55,54.96,0.89,1.36,40.50,76.50,76.50,54.93,40.50,1.0e-03,0.99,0.83,4.09,1.20,1.22,1,2,0,2.86
4239,0.20,15,18,0.90,12.24,12.26,5.51,5.52,30.54,1.00,1.37,23.00,8.00,8.00,30.55,23.00,5.0e-04,0.99,0.83,4.09,1.20,1.10,1,2,0,2.98
4240,0.20,15,18,1.00,12.26,12.31,4.91,4.83,20.84,1.06,1.30,17.00,,,20.84,17.00,0.00,1.00,0.83,4.09,1.20,1.00,1,2,0,3.09
4241,0.30,15,18,0.20,8.87,8.99,14.98,14.99,675.84,0.68,0.39,486.00,675.84,486.00,,,1.00,0.00,0.83,2.95,1.20,3.94,2,1,1,-0.99
4242,0.30,15,18,0.30,9.25,9.35,13.94,13.93,913.23,0.58,0.41,639.50,912.60,639.50,965.25,650.50,0.98,0.01,0.83,2.95,1.20,2.88,2,1,1,0.06
4243,0.30,15,18,0.40,9.65,9.74,12.78,12.77,1175.44,0.51,0.53,821.00,1185.97,826.00,1068.26,768.00,0.91,0.08,0.83,2.95,1.20,2.27,2,1,1,0.67
4244,0.30,15,18,0.50,10.11,10.14,11.46,11.51,998.25,0.53,0.68,678.00,1007.44,688.00,987.03,661.00,0.54,0.45,0.83,2.95,1.20,1.87,2,1,1,1.07
4245,0.30,15,18,0.60,10.62,10.62,9.91,10.09,403.52,0.75,1.08,278.00,386.72,277.00,406.78,279.00,0.16,0.83,0.83,2.95,1.20,1.59,1,2,1,1.35
4246,0.30,15,18,0.70,11.11,11.06,8.31,8.57,149.71,0.88,1.37,108.50,130.80,84.00,150.40,109.00,0.03,0.96,0.83,2.95,1.20,1.38,1,2,1,1.56
4247,0.30,15,18,0.80,11.42,11.39,6.99,7.21,69.56,1.02,1.47,51.00,89.40,71.50,69.35,51.00,0.01,0.99,0.83,2.95,1.20,1.22,1,2,0,1.72
4248,0.30,15,18,0.90,11.53,11.54,5.99,6.06,38.91,1.11,1.50,29.00,37.84,28.00,38.92,29.00,6.5e-03,0.99,0.83,2.95,1.20,1.10,1,2,0,1.84
4249,0.30,15,18,1.00,11.63,11.66,5.24,5.19,24.10,1.20,1.48,19.00,16.80,8.00,24.12,19.00,2.5e-03,0.99,0.83,2.95,1.20,1.00,1,2,0,1.95
4250,0.40,15,18,0.20,7.01,7.18,15.20,15.25,129.55,0.96,0.71,93.00,129.55,93.00,,,1.00,0.00,0.83,2.30,1.20,3.94,2,1,0,-1.63
4251,0.40,15,18,0.30,7.43,7.56,14.37,14.40,161.63,0.90,0.75,114.00,161.70,114.00,5.00,5.00,0.99,5.0e-04,0.83,2.30,1.20,2.88,2,1,1,-0.57
4252,0.40,15,18,0.40,7.78,8.00,13.45,13.43,201.38,0.98,0.77,140.00,201.61,140.50,173.12,106.50,0.99,8.0e-03,0.83,2.30,1.20,2.27,2,1,1,0.03
4253,0.40,15,18,0.50,8.32,8.49,12.33,12.32,259.39,1.02,0.93,183.00,261.29,184.50,230.76,166.00,0.93,0.06,0.83,2.30,1.20,1.87,2,1,1,0.43
4254,0.40,15,18,0.60,8.93,9.03,11.01,11.08,257.33,1.00,1.18,182.50,259.60,182.00,252.46,183.00,0.68,0.31,0.83,2.30,1.20,1.59,2,1,1,0.71
4255,0.40,15,18,0.70,9.62,9.67,9.46,9.63,172.55,1.28,1.57,120.00,181.07,121.50,168.61,119.50,0.31,0.68,0.83,2.30,1.20,1.38,1,2,1,0.91
4256,0.40,15,18,0.80,10.27,10.27,7.87,8.09,87.14,1.34,1.77,62.00,89.55,67.50,86.82,62.00,0.11,0.88,0.83,2.30,1.20,1.22,1,2,0,1.07
4257,0.40,15,18,0.90,10.72,10.75,6.58,6.69,46.47,1.35,1.82,34.50,47.64,32.00,46.42,34.50,0.04,0.95,0.83,2.30,1.20,1.10,1,2,0,1.20
4258,0.40,15,18,1.00,10.97,11.03,5.69,5.63,29.56,1.35,1.70,22.00,24.64,19.50,29.64,22.50,0.01,0.98,0.83,2.30,1.20,1.00,1,2,0,1.30
4259,0.50,15,18,0.20,5.63,5.72,15.21,15.32,45.70,1.10,0.98,34.00,45.70,34.00,,,1.00,0.00,0.83,1.89,1.20,3.94,2,1,0,-2.05
4260,0.50,15,18,0.30,5.85,5.96,14.57,14.62,50.30,1.12,1.02,37.00,50.30,37.00,,,1.00,0.00,0.83,1.89,1.20,2.88,2,1,0,-0.98
4261,0.50,15,18,0.40,6.18,6.35,13.84,13.91,61.16,1.21,1.11,44.00,61.18,44.00,55.40,58.00,0.99,2.5e-03,0.83,1.89,1.20,2.27,2,1,0,-0.37
4262,0.50,15,18,0.50,6.58,6.75,13.03,13.06,73.97,1.32,1.14,55.50,74.19,56.00,53.95,32.00,0.98,0.01,0.83,1.89,1.20,1.87,2,1,0,0.01
4263,0.50,15,18,0.60,7.13,7.27,12.03,12.05,91.83,1.36,1.39,65.00,92.07,66.00,87.41,58.50,0.94,0.05,0.83,1.89,1.20,1.59,2,1,0,0.29
4264,0.50,15,18,0.70,7.86,7.95,10.70,10.84,96.50,1.63,1.93,69.50,99.51,71.00,87.76,64.50,0.74,0.25,0.83,1.89,1.20,1.38,2,1,0,0.50
4265,0.50,15,18,0.80,8.67,8.81,9.16,9.35,80.55,1.82,2.16,57.00,80.44,59.00,80.64,57.00,0.45,0.54,0.83,1.89,1.20,1.22,2,1,0,0.66
4266,0.50,15,18,0.90,9.44,9.55,7.65,7.75,52.91,1.82,2.30,38.00,49.95,35.00,53.65,39.00,0.20,0.80,0.83,1.89,1.20,1.10,1,2,0,0.79
4267,0.50,15,18,1.00,9.96,10.11,6.45,6.38,34.98,1.77,2.23,27.00,33.58,29.00,35.12,26.00,0.09,0.90,0.83,1.89,1.20,1.00,1,2,0,0.89
4268,0.60,15,18,0.20,4.78,4.78,14.99,15.10,23.55,1.12,1.22,18.00,23.55,18.00,,,1.00,0.00,0.83,1.60,1.20,3.94,2,1,0,-2.34
4269,0.60,15,18,0.30,4.92,4.97,14.43,14.53,25.55,1.16,1.22,20.00,25.55,20.00,,,1.00,0.00,0.83,1.60,1.20,2.88,2,1,0,-1.27
4270,0.60,15,18,0.40,5.12,5.15,13.94,14.00,28.53,1.21,1.23,22.00,28.53,22.00,,,1.00,0.00,0.83,1.60,1.20,2.27,2,1,0,-0.66
4271,0.60,15,18,0.50,5.40,5.46,13.30,13.37,33.93,1.30,1.32,26.00,33.89,26.00,47.40,66.00,0.99,2.5e-03,0.83,1.60,1.20,1.87,2,1,0,-0.26
4272,0.60,15,18,0.60,5.80,5.85,12.60,12.63,38.44,1.48,1.50,29.00,38.47,29.00,36.57,28.00,0.98,0.01,0.83,1.60,1.20,1.59,2,1,0,0.01
4273,0.60,15,18,0.70,6.33,6.38,11.59,11.74,43.59,1.72,1.92,32.00,44.05,32.00,37.77,26.50,0.92,0.07,0.83,1.60,1.20,1.38,2,1,0,0.21
4274,0.60,15,18,0.80,6.97,6.95,10.43,10.72,50.24,1.97,2.32,37.00,50.96,38.00,47.55,35.00,0.78,0.21,0.83,1.60,1.20,1.22,2,1,0,0.37
4275,0.60,15,18,0.90,7.83,7.88,9.00,9.22,46.63,2.22,2.70,34.00,46.53,34.00,46.76,33.00,0.54,0.45,0.83,1.60,1.20,1.10,2,1,0,0.50
4276,0.60,15,18,1.00,8.57,8.80,7.66,7.56,35.58,2.30,2.77,27.00,34.71,27.00,36.01,27.00,0.33,0.66,0.83,1.60,1.20,1.00,1,2,0,0.60
4277,0.70,15,18,0.20,4.24,4.15,14.75,14.85,15.36,1.03,1.36,13.00,15.36,13.00,,,1.00,0.00,0.83,1.39,1.20,3.94,2,1,0,-2.55
4278,0.70,15,18,0.30,4.40,4.35,14.30,14.39,16.21,1.12,1.36,13.00,16.21,13.00,,,1.00,0.00,0.83,1.39,1.20,2.88,2,1,0,-1.48
4279,0.70,15,18,0.40,4.52,4.50,13.89,13.96,18.25,1.13,1.37,14.00,18.26,14.00,3.00,3.00,0.99,5.0e-04,0.83,1.39,1.20,2.27,2,1,0,-0.87
4280,0.70,15,18,0.50,4.67,4.60,13.37,13.44,20.37,1.26,1.41,16.00,20.38,16.00,18.00,18.00,0.99,5.0e-04,0.83,1.39,1.20,1.87,2,1,0,-0.47
4281,0.70,15,18,0.60,4.99,4.92,12.76,12.83,22.98,1.37,1.54,18.00,23.02,18.00,15.30,17.00,0.99,5.0e-03,0.83,1.39,1.20,1.59,2,1,0,-0.20
4282,0.70,15,18,0.70,5.24,5.13,12.08,12.20,25.35,1.61,1.79,20.00,25.43,20.00,22.16,14.00,0.97,0.02,0.83,1.39,1.20,1.38,2,1,0,6.45994832041352e-03
4283,0.70,15,18,0.80,5.81,5.63,11.18,11.44,29.30,1.92,2.25,22.00,29.68,22.00,25.26,19.00,0.91,0.08,0.83,1.39,1.20,1.22,2,1,0,0.16
4284,0.70,15,18,0.90,6.39,6.20,10.13,10.55,31.19,2.26,2.64,24.00,31.67,25.00,29.25,22.00,0.79,0.20,0.83,1.39,1.20,1.10,2,1,0,0.29
4285,0.70,15,18,1.00,7.21,7.10,8.79,9.10,30.00,2.52,3.00,23.00,30.96,23.00,28.57,22.00,0.59,0.40,0.83,1.39,1.20,1.00,2,1,0,0.39
4286,0.80,15,18,0.20,3.97,3.88,14.55,14.63,11.82,1.02,1.41,10.00,11.82,10.00,,,1.00,0.00,0.83,1.23,1.20,3.94,2,1,0,-2.71
4287,0.80,15,18,0.30,4.04,4.00,14.09,14.16,12.64,1.06,1.45,11.00,12.64,11.00,,,1.00,0.00,0.83,1.23,1.20,2.88,2,1,0,-1.65
4288,0.80,15,18,0.40,4.12,4.00,13.71,13.83,13.40,1.10,1.45,11.00,13.40,11.00,,,1.00,0.00,0.83,1.23,1.20,2.27,2,1,0,-1.03
4289,0.80,15,18,0.50,4.26,4.15,13.20,13.30,14.55,1.19,1.50,12.00,14.56,12.00,7.00,7.00,0.99,5.0e-04,0.83,1.23,1.20,1.87,2,1,0,-0.64
4290,0.80,15,18,0.60,4.44,4.34,12.72,12.84,16.01,1.34,1.62,13.00,16.02,13.00,9.50,9.50,0.99,1.0e-03,0.83,1.23,1.20,1.59,2,1,0,-0.36
4291,0.80,15,18,0.70,4.69,4.54,12.17,12.28,18.01,1.41,1.64,15.00,18.04,15.00,11.14,11.00,0.99,3.5e-03,0.83,1.23,1.20,1.38,2,1,0,-0.15
4292,0.80,15,18,0.80,4.96,4.72,11.54,11.73,19.29,1.69,2.04,16.00,19.44,16.00,14.53,13.00,0.96,0.03,0.83,1.23,1.20,1.22,2,1,0,3.36851560745566e-03
4293,0.80,15,18,0.90,5.36,5.03,10.76,11.16,20.61,2.07,2.47,16.00,20.98,16.00,17.05,13.00,0.90,0.09,0.83,1.23,1.20,1.10,2,1,0,0.12
4294,0.80,15,18,1.00,6.02,5.51,9.70,10.28,21.81,2.49,2.93,17.00,22.07,18.00,20.87,16.00,0.78,0.21,0.83,1.23,1.20,1.00,2,1,0,0.23
4295,0.90,15,18,0.20,3.73,3.60,14.26,14.33,9.58,0.99,1.55,8.00,9.58,8.00,,,1.00,0.00,0.83,1.10,1.20,3.94,2,1,0,-2.84
4296,0.90,15,18,0.30,3.78,3.68,13.94,14.00,10.54,1.03,1.51,9.00,10.54,9.00,,,1.00,0.00,0.83,1.10,1.20,2.88,2,1,0,-1.78
4297,0.90,15,18,0.40,3.85,3.70,13.52,13.60,10.77,1.08,1.54,9.00,10.77,9.00,,,1.00,0.00,0.83,1.10,1.20,2.27,2,1,0,-1.16
4298,0.90,15,18,0.50,4.01,3.90,13.08,13.11,11.62,1.11,1.53,10.00,11.62,10.00,,,1.00,0.00,0.83,1.10,1.20,1.87,2,1,0,-0.77
4299,0.90,15,18,0.60,4.13,4.00,12.62,12.71,12.45,1.23,1.66,11.00,12.45,11.00,9.00,9.00,0.99,1.0e-03,0.83,1.10,1.20,1.59,2,1,0,-0.49
4300,0.90,15,18,0.70,4.29,4.11,12.19,12.28,13.57,1.36,1.71,12.00,13.59,12.00,9.83,9.50,0.99,3.0e-03,0.83,1.10,1.20,1.38,2,1,0,-0.28
4301,0.90,15,18,0.80,4.49,4.22,11.66,11.85,14.82,1.59,2.01,12.00,14.86,13.00,12.71,10.00,0.97,0.02,0.83,1.10,1.20,1.22,2,1,0,-0.12
4302,0.90,15,18,0.90,4.81,4.50,11.02,11.33,16.01,1.86,2.28,13.00,16.11,13.00,13.96,11.00,0.95,0.04,0.83,1.10,1.20,1.10,2,1,0,1.35330205701889e-03
4303,0.90,15,18,1.00,5.16,4.66,10.26,10.77,16.82,2.21,2.74,13.00,17.10,14.00,14.73,12.00,0.88,0.11,0.83,1.10,1.20,1.00,2,1,0,0.10
4304,1.00,15,18,0.20,3.54,3.42,14.13,14.25,8.40,0.92,1.61,7.00,8.40,7.00,,,1.00,0.00,0.83,1.00,1.20,3.94,2,1,0,-2.94
4305,1.00,15,18,0.30,3.63,3.50,13.72,13.75,8.98,0.96,1.63,8.00,8.98,8.00,,,1.00,0.00,0.83,1.00,1.20,2.88,2,1,0,-1.88
4306,1.00,15,18,0.40,3.68,3.50,13.37,13.50,9.30,1.01,1.62,8.00,9.30,8.00,3.00,3.00,0.99,5.0e-04,0.83,1.00,1.20,2.27,2,1,0,-1.27
